date,tradePrice,change,changePrice,accTradeVolume,accTradePrice,individualStraightPurchasePrice,foreignStraightPurchasePrice,institutionStraightPurchasePrice
2019-07-03 00:00:00,2113.28,FALL,8.74,180753,1415097,25435352963,-51579856319,28986343951
2019-07-02 00:00:00,2122.02,FALL,7.72,460830,4107541,24006908061,34321459071,-51500525649
2019-07-01 00:00:00,2129.74,FALL,0.88,412291,4730192,-19121687014,154486503785,6138187770
2019-06-28 00:00:00,2130.62,FALL,3.7,537274,4282404,-199483658718,312263760802,-109684798220
2019-06-27 00:00:00,2134.32,RISE,12.47,644900,5122462,-405768338937,155887532000,267089212849
2019-06-26 00:00:00,2121.85,RISE,0.21,736851,4455865,-73635556218,16452829619,60969038311
2019-06-25 00:00:00,2121.64,FALL,4.69,642999,4249731,-21135872689,27387982,8844220728
2019-06-24 00:00:00,2126.33,RISE,0.71,669639,4054920,-72774648738,-99250349566,163711527766
2019-06-21 00:00:00,2125.62,FALL,5.67,692027,5226303,118735540006,13280881909,-130936554570
2019-06-20 00:00:00,2131.29,RISE,6.51,1007158,3994784,-148542907457,-18322575414,164450625338
2019-06-19 00:00:00,2124.78,RISE,26.07,862980,4984533,-460489624085,300430954174,169276816225
2019-06-18 00:00:00,2098.71,RISE,7.98,600964,4579592,-129501534187,261816928364,86891545505
2019-06-17 00:00:00,2090.73,FALL,4.68,561550,4255706,7838261537,-150088594638,140374240557
2019-06-14 00:00:00,2095.41,FALL,7.74,473370,4716415,157690404429,-69368483603,-92172949183
2019-06-13 00:00:00,2103.15,FALL,5.6,553393,5998223,131707587548,-165712563303,51511213419
2019-06-12 00:00:00,2108.75,FALL,3.06,693507,4661009,-96265719945,-2329064115,101634418700
2019-06-11 00:00:00,2111.81,RISE,12.32,550740,4276695,-266518306801,69234514513,203477891603
2019-06-10 00:00:00,2099.49,RISE,27.16,457640,4214043,-338433585668,181865828210,167291422679
2019-06-07 00:00:00,2072.33,RISE,3.22,368392,4347351,-40059895436,-33318062866,65786514521
2019-06-05 00:00:00,2069.11,RISE,2.14,380156,4506227,56665914597,-155874527876,98474923591
2019-06-04 00:00:00,2066.97,FALL,0.88,435991,4841760,3220039078,-200164967877,193534502808
2019-06-03 00:00:00,2067.85,RISE,26.11,387145,4640456,-193325346081,291395679762,-98572540911
2019-05-31 00:00:00,2041.74,RISE,2.94,439181,5039081,-61281395162,206222820885,-146046289829
2019-05-30 00:00:00,2038.8,RISE,15.48,461850,4978843,-72021362520,48406606231,21685375521
2019-05-29 00:00:00,2023.32,FALL,25.51,380893,4686652,193190514658,-381531585556,192717021057
2019-05-28 00:00:00,2048.83,RISE,4.62,494478,8080272,119853124842,-719057497035,622718543279
2019-05-27 00:00:00,2044.21,FALL,1.1,351616,3506626,22898140761,-193988659151,171052827451
2019-05-24 00:00:00,2045.31,FALL,14.28,480647,4581385,-1257024852,-310212212215,306930149255
2019-05-23 00:00:00,2059.59,FALL,5.27,509268,4819255,14972454518,80916106150,-96210990635
2019-05-22 00:00:00,2064.86,RISE,3.61,509974,4637965,72815872315,5300903349,-92457360141
2019-05-21 00:00:00,2061.25,RISE,5.54,526858,5272368,-9482432039,74360892295,-73025766952
2019-05-20 00:00:00,2055.71,FALL,0.09,640195,4889671,37013119336,-17762882496,9568855074
2019-05-17 00:00:00,2055.8,FALL,11.89,537380,5378895,182498070316,-199417320948,4245963256
2019-05-16 00:00:00,2067.69,FALL,25.09,745164,6042439,411406769493,-467905856517,36705210008
2019-05-15 00:00:00,2092.78,RISE,10.94,577794,5052873,108230917953,-77646339392,-48430506945
2019-05-14 00:00:00,2081.84,RISE,2.83,696195,5865911,-60314280562,-285078154873,336784716653
2019-05-13 00:00:00,2079.01,FALL,29.03,505750,4601110,258103306140,-137329399592,-131377958377
